dataset,query_id,objective_count,method,epsilon,status,certified,paths,reference_kind,reference_size,reference_configurations,empirical_epsilon,load_seconds,preprocess_seconds,search_seconds,total_seconds,peak_rss_mb,expanded,labels,merged,file
BAY,0024,2,NAMOA_dr_goal_epsilon,0.0,exact,True,98,exact,98,2,0.0,0.740657521,0.562759632,0.056587088,1.361191366,102,80323,96135,0,BAY_0024_m2_e0.0_86577e07c20887e5.json
BAY,0024,2,apex_open_merge,0.2,epsilon_cover,True,5,exact,98,2,0.02215072884996583,0.636178779,0.53652451,0.00947444,1.184718588,69,0,1,0,BAY_0024_m2_e0.2_6ce12628af736ad7.json
BAY,0024,3,apex_open_merge,0.2,epsilon_cover,True,10,unavailable_single_config,10,1,,0.733311876,0.821948825,0.019939387,1.578626709,69,21715,21715,3756,BAY_0024_m3_e0.2_8da51d55de93f670.json
BAY,0024,5,apex_open_merge,0.2,epsilon_cover,True,12,unavailable_single_config,12,1,,0.736860901,0.870949102,0.200111879,1.81438542,107,174870,178587,74083,BAY_0024_m5_e0.2_f1998ba6fd9843d3.json
BAY,0025,2,NAMOA_dr_goal_epsilon,0.0,exact,True,296,exact,296,2,0.0,0.605210481,0.924544411,0.139979578,1.671113546,137,171681,201525,0,BAY_0025_m2_e0.0_2501af95dbc2da54.json
BAY,0025,2,apex_open_merge,0.2,epsilon_cover,True,5,exact,296,2,0.03956668178136913,0.639946144,0.983009946,0.009638283,1.635238634,69,0,1,0,BAY_0025_m2_e0.2_748a34d4a912bb98.json
BAY,0025,3,apex_open_merge,0.2,epsilon_cover,True,10,unavailable_single_config,10,1,,0.734891044,0.999450833,0.031860806,1.769921658,71,36454,36454,9344,BAY_0025_m3_e0.2_bdcb8fb821b2d241.json
BAY,0025,5,apex_open_merge,0.2,epsilon_cover,True,12,unavailable_single_config,12,1,,0.735206274,1.090495173,0.047064247,1.877970231,70,33419,33419,8609,BAY_0025_m5_e0.2_8a66aad39e1dc84b.json
BAY,0026,2,NAMOA_dr_goal_epsilon,0.0,exact,True,54,exact,54,2,0.0,0.743763507,0.32598129,0.012787222,1.085133851,137,11339,14570,0,BAY_0026_m2_e0.0_c6ecc45b3185b9df.json
BAY,0026,2,apex_open_merge,0.2,epsilon_cover,True,3,exact,54,2,0.03385457388584823,0.629998854,0.306142894,0.009209966,0.948135461,69,0,1,0,BAY_0026_m2_e0.2_85cf1be82ed7fcfa.json
