dataset,query_id,objective_count,method,epsilon,status,certified,paths,reference_kind,reference_size,reference_configurations,empirical_epsilon,load_seconds,preprocess_seconds,search_seconds,total_seconds,peak_rss_mb,expanded,file
BAY,0020,2,NAMOA_dr_goal_epsilon,0.0,exact,True,62,exact,62,2,0.0,0.734016934,0.660586375,0.072740386,1.468540759,86,130530,BAY_0020_m2_e0.0_39996e297c87e685.json
BAY,0020,2,NAMOA_dr_goal_epsilon,0.2,epsilon_cover,True,3,exact,62,2,0.08424249212175505,0.779810765,0.86713164,0.007793184,1.657121781,69,0,BAY_0020_m2_e0.2_5947484abf34ae82.json
BAY,0020,3,NAMOA_dr_goal_epsilon,0.2,epsilon_cover,True,9,unavailable_single_config,9,1,,0.757890992,0.737664353,1.8134554,3.318840798,192,1204388,BAY_0020_m3_e0.2_9a8eaf2b3612d0f5.json
BAY,0020,5,NAMOA_dr_goal_epsilon,0.2,epsilon_cover,True,11,unavailable_single_config,11,1,,0.756078611,0.880998686,18.57764424,20.23847886,316,3153776,BAY_0020_m5_e0.2_c7947b6a3ce9df9c.json
BAY,0021,2,NAMOA_dr_goal_epsilon,0.0,exact,True,11,exact,11,2,0.0,0.76214516,0.465436683,0.007269172,1.236795162,86,1084,BAY_0021_m2_e0.0_1067744ea5d2dcb1.json
BAY,0021,2,NAMOA_dr_goal_epsilon,0.2,epsilon_cover,True,3,exact,11,2,0.0013686899187201895,0.660627212,0.470133113,0.006782136,1.140035358,68,0,BAY_0021_m2_e0.2_f81d5606017bcccb.json
BAY,0021,3,NAMOA_dr_goal_epsilon,0.2,epsilon_cover,True,10,unavailable_single_config,10,1,,0.64496876,0.616841371,0.403466363,1.672242875,108,449277,BAY_0021_m3_e0.2_0828ad057383b2cb.json
BAY,0021,5,NAMOA_dr_goal_epsilon,0.2,epsilon_cover,True,11,unavailable_single_config,11,1,,0.787672676,0.890186133,2.544276003,4.232629895,192,976756,BAY_0021_m5_e0.2_8419f6ed31c5eda7.json
BAY,0022,2,NAMOA_dr_goal_epsilon,0.0,exact,True,407,exact,407,2,0.0,0.723585766,0.828703907,1.906922693,3.466018726,192,1597749,BAY_0022_m2_e0.0_c98aab9a6b8385f1.json
BAY,0022,2,NAMOA_dr_goal_epsilon,0.2,epsilon_cover,True,4,exact,407,2,0.059931444562731695,0.793656678,1.071874518,0.00773986,1.875603236,68,0,BAY_0022_m2_e0.2_70e3de52f9a2c2ed.json
BAY,0022,3,NAMOA_dr_goal_epsilon,0.2,epsilon_cover,True,9,unavailable_single_config,9,1,,0.6765426,0.989466724,0.527966139,2.205286836,136,619567,BAY_0022_m3_e0.2_e336c6edadc2fc94.json
BAY,0022,5,NAMOA_dr_goal_epsilon,0.2,time_limit,False,11,unavailable_single_config,11,1,,0.762475535,1.091136663,30.00441867,31.88540884,533,3679421,BAY_0022_m5_e0.2_af856954f22eced2.json
BAY,0023,2,NAMOA_dr_goal_epsilon,0.0,exact,True,26,exact,26,2,0.0,0.722705474,0.719594852,0.020441712,1.464142271,97,41435,BAY_0023_m2_e0.0_bc116bb3a421b7bd.json
BAY,0023,2,NAMOA_dr_goal_epsilon,0.2,epsilon_cover,True,6,exact,26,2,0.020549399993980533,0.780728021,0.980220485,0.008462636,1.771621596,68,0,BAY_0023_m2_e0.2_5a97995df0b39fa9.json
BAY,0023,3,NAMOA_dr_goal_epsilon,0.2,epsilon_cover,True,11,unavailable_single_config,11,1,,0.790743757,0.987528396,2.434378343,4.224431733,192,1082117,BAY_0023_m3_e0.2_b23561ac38841a3b.json
BAY,0023,5,NAMOA_dr_goal_epsilon,0.2,time_limit,False,12,unavailable_single_config,12,1,,0.79122303,1.227285845,30.00001151,32.05402186,343,3495095,BAY_0023_m5_e0.2_e7765c90ab6defed.json
BAY,0024,2,NAMOA_dr_goal_epsilon,0.0,exact,True,98,exact,98,2,0.0,0.753632176,0.662953112,0.058571595,1.47754643,100,80323,BAY_0024_m2_e0.0_e662b46ee9d8d3c6.json
BAY,0024,2,NAMOA_dr_goal_epsilon,0.2,epsilon_cover,True,5,exact,98,2,0.02215072884996583,0.787975088,0.728672656,0.007607667,1.526557465,68,0,BAY_0024_m2_e0.2_55299fbce450f0f5.json
BAY,0024,3,NAMOA_dr_goal_epsilon,0.2,epsilon_cover,True,10,unavailable_single_config,10,1,,0.664338423,0.997863553,0.051674926,1.716818373,68,84890,BAY_0024_m3_e0.2_04c9a9e543df514b.json
BAY,0024,5,NAMOA_dr_goal_epsilon,0.2,time_limit,False,11,unavailable_single_config,11,1,,0.769108289,1.038235017,30.00717548,31.84154106,533,4258903,BAY_0024_m5_e0.2_64ed6bef227fe6ba.json
BAY,0025,2,NAMOA_dr_goal_epsilon,0.0,exact,True,296,exact,296,2,0.0,0.75917026,1.226260116,0.162857223,2.149974643,110,171681,BAY_0025_m2_e0.0_dc099f551b27a61f.json
BAY,0025,2,NAMOA_dr_goal_epsilon,0.2,epsilon_cover,True,5,exact,296,2,0.03956668178136913,0.789188479,1.32427714,0.007291902,2.122662798,68,0,BAY_0025_m2_e0.2_8dd4f33e8280b8cb.json
BAY,0025,3,NAMOA_dr_goal_epsilon,0.2,epsilon_cover,True,10,unavailable_single_config,10,1,,0.658115074,1.23106267,0.27018407,2.164581862,98,289689,BAY_0025_m3_e0.2_417dfce9932d8d14.json
BAY,0025,5,NAMOA_dr_goal_epsilon,0.2,epsilon_cover,True,12,unavailable_single_config,12,1,,0.785832448,1.391102157,1.128277835,3.32593225,136,624003,BAY_0025_m5_e0.2_c109bfbfc6defcbf.json
BAY,0026,2,NAMOA_dr_goal_epsilon,0.0,exact,True,54,exact,54,2,0.0,0.755574349,0.386611536,0.011879379,1.155976182,110,11339,BAY_0026_m2_e0.0_b877127e568b80f6.json
BAY,0026,2,NAMOA_dr_goal_epsilon,0.2,epsilon_cover,True,3,exact,54,2,0.03385457388584823,0.649061401,0.326789473,0.006103536,0.983781028,68,0,BAY_0026_m2_e0.2_1f0ec2b7acbba743.json
